tissue,Total_Reads,Log Total_Reads,Unmapped_reads(non-human-reads),Log Unmapped_reads(non-human-reads),QCed_reads,Log QCed_reads,Microbial_reads,Log Microbial_reads,After Bowie Microbial reads,Log Non Human Microbial reads,Classified Microbial Reads (Agamemnon),Log Classified Microbial Reads (Agamemnon)
Pancreas,92288633.1528662,7.96514821388633,1777815.61783439,6.2498867170901,247420.171974522,5.39343510442848,40361,4.60596191794896,39173.9872611465,4.59299777776141,39173.9791696155,4.59299768805628
Esophagus,90932842.7789934,7.95872076838775,1407915.53756382,6.14857660177327,245394.075857039,5.38986407406477,45573.2078774617,4.65870959945028,44817.8774617068,4.65145128485196,44817.8806654166,4.65145131589657
Stomach,90075932.2580645,7.95460876563155,1744797.3255132,6.24174498686927,536081.964809384,5.72923119667594,47733.0674486804,4.67881934413431,46964.211143695,4.67176703190378,46964.2266602458,4.67176717539073
Colon,92070687.2690763,7.9641213849898,1404378.43105756,6.14748415079572,253164.752342704,5.40340323954178,35509.7242302544,4.55034729956876,34784.5060240964,4.54138584030737,34784.5043143354,4.54138581896052
Small Intestine,92879527.877095,7.96791999914122,1490652.62569832,6.17337644940929,255017.955307263,5.40657075932157,32409.3631284916,4.51067049686068,31547.7877094972,4.49896890972137,31547.7873722693,4.49896890507901
Prostate,88675131.5879828,7.94780184160851,1764319.88841202,6.24657732976241,282217.321888412,5.45058366629176,47920.7038626609,4.68052318837593,47052.5836909871,4.67258347583832,47052.5819667502,4.67258345992365
Testis,96205676.2390671,7.98320069663844,1503577.73760933,6.17712588680435,319579.848396501,5.50457938639251,16097.5743440233,4.20676043948707,15150.250728863,4.18041982024826,15150.2498975464,4.18041979641789
Nerve,94755663.2328308,7.97660517576167,4316968.80067002,6.63517890996138,446608.780569514,5.64992725728312,57060.1306532663,4.75633276174671,55784.1072026801,4.74651048679975,55784.1005972127,4.74651043537439
Blood,105270518.132022,8.02230676049871,5037435.54775281,6.70220950253688,1552605.87359551,6.191061224791,29035.0365168539,4.46292237657421,27441.4438202247,4.43840695786053,27441.439967919,4.43840689689307
Pituitary,91526723.7827715,7.96154791698319,1765091.42322097,6.24676720466555,246047.91011236,5.39101968056488,31809.7827715356,4.50256070332787,30646.6367041199,4.48638282009461,30646.6361690197,4.48638281251169
Ovary,88786110.982659,7.94834503339843,1360242.11560694,6.13361621727721,225547.028901734,5.35323711057325,33433.5028901734,4.52418188081561,32789.0520231214,4.51572886079627,32789.0542173377,4.5157288898589
Liver,90977499.4470046,7.95893399590027,1440506.77419355,6.15851530495448,214923.152073733,5.33228320132803,39020.801843318,4.5912961895216,38225.8341013825,4.58235697064879,38225.8369081578,4.58235700253736
Kidney,95912122.0481928,7.98187349982907,1346706.3373494,6.12927290383513,299415.879518072,5.47627482942118,58679.0120481928,4.76848279321436,57786.313253012,4.76182498751106,57786.3028202113,4.76182490910308
Bladder,82380645.2631579,7.91582518933357,927311.263157895,5.96722553477231,353888.210526316,5.54886609474079,136216.631578947,5.13423013666629,135769.473684211,5.13280213444535,135769.471865789,5.13280212862865
